,Close,High,Low,Open,Volume,MFI_10,ATR_10,STOCHk_10_3_3
2026-03-16,198988.125,208568.2955115346,183220.7610330993,184218.69546138417,120360709,72.7564193727037,19150.524150877147,65.28426798956657
2026-03-23,179728.0,195994.3320377568,171644.73070516382,190106.51860077734,139936088,63.799604110305886,19969.81116527305,58.68206986060389
2026-03-30,185815.390625,193200.10539742213,166655.0495938507,170646.78730867346,152128669,54.467403438189564,20627.335629102887,56.64159493267342
2026-04-06,206000.0,214500.0,190100.0,190900.0,147940282,55.36258377904218,21433.063003692598,58.15810188357548
2026-04-13,216000.0,218000.0,198200.0,198200.0,106947487,54.31618781853539,21269.75670332334,72.18810627990489
2026-04-20,219500.0,229500.0,213000.0,214500.0,104835504,53.97894824965406,20792.781032991006,83.50555052004916
2026-04-27,220500.0,230000.0,218500.0,220000.0,83840595,55.50584563446935,19863.502929691906,86.11602661054492
2026-05-04,268500.0,277000.0,224000.0,228000.0,153299379,56.31764024973936,23527.152636722716,87.12915235811238
2026-05-11,270500.0,299500.0,262000.0,284500.0,190172616,72.74325679456041,24924.437373050445,85.15655804395668
2026-05-18,292500.0,300500.0,262000.0,269500.0,154548823,82.69782302563749,26281.993635745403,88.16328599637579
2026-05-25,317000.0,323000.0,287500.0,298000.0,124794930,83.49646987069185,27203.794272170864,89.45176883304805
2026-06-01,329000.0,370000.0,319500.0,319500.0,158268819,92.1069966125692,29783.41484495378,90.00749479520239
