,Close,High,Low,Open,Volume,MFI_10,ATR_10,STOCHk_10_3_3
2024-10-28,2542.360107421875,2617.800048828125,2536.840087890625,2588.449951171875,1910800,29.749531575072425,86.21720145748537,36.03030524484644
2024-11-04,2561.14990234375,2593.14990234375,2540.47998046875,2549.0400390625,2147100,28.60706673565653,82.86247349923683,32.384401787776625
2024-11-11,2416.860107421875,2562.050048828125,2390.56005859375,2562.050048828125,3190500,26.585321649205824,91.72522517275064,21.90311450880118
2024-11-18,2501.239990234375,2511.22998046875,2437.530029296875,2440.31005859375,2258200,36.963265380765854,91.98968996016309,27.09382936622136
2024-11-25,2455.909912109375,2541.760009765625,2446.9599609375,2524.110107421875,2147600,30.2923378627043,92.27072584695928,23.185156898044596
2024-12-02,2428.159912109375,2500.669921875,2397.72998046875,2479.02001953125,2472300,20.124369282649937,93.33764740288835,24.678167706944425
2024-12-09,2494.4599609375,2500.320068359375,2360.179931640625,2392.3701171875,3050000,31.697184619903226,98.01789633447453,28.263332376479056
2024-12-16,2404.14990234375,2515.6201171875,2389.860107421875,2511.080078125,2649700,30.689658740507852,100.79210767758957,26.10181298359052
2024-12-23,2404.77001953125,2452.85009765625,2388.330078125,2423.360107421875,1449100,22.889973462092215,97.16489886295562,27.344238302171316
2024-12-30,2441.919921875,2454.669921875,2386.840087890625,2397.489990234375,1062200,28.359438320965424,94.23139237509756,21.65245606994662
2025-01-06,2515.780029296875,2535.8701171875,2446.820068359375,2453.300048828125,1855300,36.93239313897632,94.2032726688378,38.58873245992363
2025-01-13,2523.550048828125,2534.010009765625,2482.739990234375,2508.14990234375,2428600,47.520892152848646,89.90994735507903,59.81566060671931
2025-01-20,2536.800048828125,2552.570068359375,2507.949951171875,2533.679931640625,2804900,61.11168779165275,85.38096433832114,79.84040031704293
2025-01-27,2517.3701171875,2537.97998046875,2496.949951171875,2534.330078125,454400,55.394054831816696,80.94587083417653,84.81176812071453
2025-02-03,2521.919921875,2537.6298828125,2437.610107421875,2468.739990234375,2339100,54.83213609059099,82.85326128982138,85.85857560414367
2025-02-10,2591.050048828125,2600.570068359375,2499.179931640625,2510.639892578125,2489300,66.92134251198033,84.70694883271425,87.2707952354617
2025-02-17,2654.580078125,2680.699951171875,2592.570068359375,2595.989990234375,2288100,65.97079546356002,85.20124418381782,90.4066564097195
2025-02-24,2532.780029296875,2648.06005859375,2531.239990234375,2636.1201171875,2436000,66.22867601600166,89.01512855449855,78.93810784928918
2025-03-03,2563.47998046875,2583.64990234375,2513.31005859375,2522.199951171875,2230300,63.4221885486266,87.1476000740487,66.96160290228333
2025-03-10,2566.360107421875,2600.070068359375,2505.909912109375,2555.39990234375,2025900,65.17192660485688,87.84885569164383,54.245770970802965
2025-03-17,2643.1298828125,2650.719970703125,2587.52001953125,2588.320068359375,2557900,66.45608536992648,87.49995645060444,65.87299520077963
2025-03-24,2557.97998046875,2654.6298828125,2549.260009765625,2636.429931640625,2236500,55.96385083625044,89.2869481102315,62.34178571237271
2025-03-31,2465.419921875,2532.14990234375,2437.429931640625,2513.43994140625,2535800,43.95762756787532,92.41325818202085,48.52237656596653
2025-04-07,2432.719970703125,2445.06005859375,2284.719970703125,2359.25,2916200,39.77605393500671,101.24192748100627,32.79932527889563
2025-04-14,2483.419921875,2486.3701171875,2442.719970703125,2454.280029296875,2714800,50.037341159743626,96.48274938134314,33.02021614508467
2025-04-21,2546.300048828125,2553.330078125,2476.139892578125,2486.3798828125,2115200,49.1852250071833,94.55349299789633,51.20461128504613
2025-04-28,2559.7900390625,2571.409912109375,2540.570068359375,2551.22998046875,2074200,48.559112822549,88.1821280731067,63.53319142097565
2025-05-05,2577.27001953125,2590.89990234375,2559.169921875,2577.0400390625,1504000,57.259317586169544,82.53691331267102,73.16903967447509
2025-05-12,2626.8701171875,2646.010009765625,2585.60009765625,2593.93994140625,1922000,66.72277920650234,81.15722100484142,81.98124587362359
2025-05-19,2592.090087890625,2633.409912109375,2588.090087890625,2613.699951171875,1933900,57.81010607900393,77.57348132623228,84.89186886323542
2025-05-26,2697.669921875,2720.639892578125,2595.9599609375,2598.449951171875,2078000,56.927785264560924,82.67111366235906,90.10648666859812
2025-06-02,2812.050048828125,2831.110107421875,2685.139892578125,2692.909912109375,1369500,66.07758275625255,89.00102378049816,91.44518863156327
2025-06-09,2894.6201171875,2934.31005859375,2841.389892578125,2841.56005859375,3085100,78.77383505141512,92.32692237901085,95.04411054622972
2025-06-16,3021.840087890625,3022.06005859375,2886.1298828125,2903.5,3160700,91.45952037522054,96.68724771923478,96.7878907164067
2025-06-23,3055.93994140625,3129.090087890625,2971.360107421875,2992.199951171875,2691900,91.67247839923625,102.7915209941863,94.21633732248289
2025-06-30,3054.280029296875,3133.52001953125,3032.469970703125,3072.75,2796900,92.09769335449319,102.61737377758018,91.7984401645935
2025-07-07,3175.77001953125,3216.68994140625,3032.989990234375,3044.780029296875,2810100,92.51176412290023,110.72563151700967,89.73663896808718
2025-07-14,3188.070068359375,3216.010009765625,3152.419921875,3175.590087890625,2213400,92.84947545948862,106.01207715437121,91.95931529603251
2025-07-21,3196.050048828125,3237.969970703125,3141.929931640625,3191.110107421875,2202000,93.04632380259142,105.0148733451841,94.26374153602278
2025-07-28,3119.409912109375,3288.260009765625,3117.919921875,3228.610107421875,2262100,90.36935314079344,111.5473947997282,88.20828985143875
2025-08-04,3210.010009765625,3227.679931640625,3105.6298828125,3114.27001953125,1562700,90.2938570862678,112.59766020256788,85.39522103779969
2025-08-11,3225.659912109375,3242.169921875,3189.580078125,3220.719970703125,1439800,90.40190520579242,106.59687855731109,82.87583578140915
2025-08-18,3168.72998046875,3206.77001953125,3079.27001953125,3202.6298828125,1460400,83.28816348088333,110.57617995939248,81.0976729112075
2025-08-25,3186.010009765625,3212.68994140625,3164.080078125,3195.139892578125,1384600,82.01425741507201,104.37954829157823,74.66716937780008
2025-09-01,3205.1201171875,3214.639892578125,3135.02001953125,3164.580078125,1516700,73.26063912622064,101.90358076710791,68.50229877278231
2025-09-08,3395.5400390625,3395.5400390625,3206.340087890625,3209.81005859375,2261400,72.79659355847633,110.75521487789712,78.41037091869312
2025-09-15,3445.239990234375,3467.889892578125,3391.330078125,3407.780029296875,1851700,71.65085124255914,107.33567483541991,87.22284310153067
2025-09-22,3386.050048828125,3497.949951171875,3365.72998046875,3463.840087890625,1625600,61.18358217582125,109.82410442219042,89.14829025840216
2025-09-29,3549.2099609375,3565.9599609375,3413.330078125,3414.429931640625,1838600,60.78800427549583,116.83268519090888,88.00108484930725
2025-10-06,3610.60009765625,3617.860107421875,3569.43994140625,3598.110107421875,407400,70.5104836597481,112.01443132025548,89.49452705977855
2025-10-13,3748.889892578125,3794.8701171875,3522.5400390625,3550.080078125,2602300,72.97183603009069,128.04599600072993,96.26167007816241
2025-10-20,3941.590087890625,3951.070068359375,3728.3798828125,3775.39990234375,2384700,75.04336810207435,137.51041495534443,97.04640779826934
2025-10-27,4107.5,4146.72021484375,3972.56005859375,3999.7900390625,2366900,84.04747920712964,144.2723861551225,96.20350845179053
2025-11-03,3953.760009765625,4226.75,3867.81005859375,4123.35986328125,2290900,71.9747596159383,165.73914168023526,90.01022224965827
2025-11-10,4011.570068359375,4188.5400390625,3984.239990234375,3991.8701171875,1875900,79.69713989121855,172.64323044189925,83.34349088549943
2025-11-17,3853.260009765625,4089.8798828125,3838.4599609375,4078.570068359375,1681600,70.22790553477091,180.52089958520932,70.17650554851808
2025-11-24,3926.590087890625,4023.419921875,3833.35009765625,3915.159912109375,1447500,69.94521035376896,181.4757920485634,66.89127174262349
2025-12-01,4100.0498046875,4100.0498046875,3892.080078125,3967.919921875,1737300,78.20483540817666,184.12518549995707,68.72839259584761
2025-12-08,4167.16015625,4172.64013671875,4081.260009765625,4109.25,2080500,78.83568681570662,174.85067964527389,80.36695160248983
2025-12-15,4020.550048828125,4123.18994140625,3975.5,4053.739990234375,2105900,70.24847296602584,176.5316273057465,82.22692987696608
2025-12-22,4129.68017578125,4143.14013671875,4083.1298828125,4096.259765625,1575200,69.07075084286824,171.13747336423435,80.92652248093894
2025-12-29,4309.6298828125,4313.5498046875,4146.47998046875,4146.47998046875,1316900,67.57235346407354,172.4106889184359,83.4750664785546
