,Close,High,Low,Open,Volume,MFI_10,ATR_10,STOCHk_10_3_3,RET,MOM,VOL,ATR_10_res,MFI_10_res,STOCHk_10_3_3_res,Investor_Sentiment_PC1
2024-08-05,72073.1875,74195.82488286479,67731.42921686747,74002.8578480589,179417395,56.76726188378545,4780.868983462746,38.254395509383606,-0.06155772964826245,0.058550501010558365,0.0017061413785600305,722.9268144770449,4.289605797144077,-8.599484872586743,-0.1437081655567691
2024-08-12,77379.78125,77379.78125,72169.6712905237,72555.60536159601,55863166,56.10464446006918,4833.441460116472,39.694076448369536,0.07362784877524664,0.028613406891184634,0.0020533133769968332,-764.8306124941346,-0.9061307392085212,-18.332048839576693,-0.8679038435781262
2024-08-19,74967.6875,77283.29174710425,74774.72047940799,77283.29174710425,50205406,53.640294649097214,4610.603391164025,39.42653800104689,-0.03117214485534614,0.050540565758806166,0.001974806946901342,-255.63426450049974,0.9534112461305142,-9.202328170366393,-0.33529641557062195
2024-08-26,71687.25,75450.1069986541,70915.38189771198,75353.6234858681,69823596,45.3151325739327,4603.015562141834,38.7096853072606,-0.04375801907988697,-0.010385871834580507,0.0020545113476007786,-2.21650004705225,-0.7792752059795376,-1.292494511063417,-0.12519397736677215
2024-09-02,66477.1328125,72073.17592298621,65608.78129535558,71880.20891917634,101031606,37.02725838956563,4789.153468690713,22.230834213469873,-0.07267843567022025,-0.0591688933130915,0.0024488185362310506,-300.7128051915133,-1.4004027355704523,-7.658772718594861,-0.4478847456716601
2024-09-09,62135.37890625,65801.75219574923,61942.4118910132,64547.466596710015,150653622,23.475412299017805,4763.710213970322,9.060978669218546,-0.06531199109468211,-0.15059735440004451,0.0025744721061577167,-118.23218608170009,-6.688899758047203,-10.903530235405793,-1.054414215718631
2024-09-16,60784.6015625,62424.82096974206,60012.733606150796,61749.43650793651,82148769,11.462742168000872,4528.547928932417,2.74690159299424,-0.021739263001647635,-0.289387764562263,0.0016256131111604462,2563.563721027045,-12.342930619923884,-9.431561439495988,-1.7427446193162381
2024-09-23,61942.41015625,63100.21221524533,60012.74005792446,60109.223562840736,150151359,24.417533459316644,4384.440351771263,4.094002250221725,0.01904772860211179,-0.2801280849460912,0.0018261383070540863,1605.5238256385646,-2.061697614791612,-13.236923819030988,-0.9815195613258463
2024-09-30,58797.0703125,62386.990447091586,58117.896232982675,62289.96557858911,85415277,25.0319463099369,4372.905738005027,4.730219466966527,-0.05077845430644157,-0.2610803563439794,0.0018195019463965341,1941.6993322124058,1.1984493311142117,-6.702270738975831,-0.44008410211395377
2024-10-07,57535.74609375,60058.392634116775,57147.64662600126,58408.96989618465,137364502,24.803971694550157,4226.689765016076,4.336039088589526,-0.02145216100132541,-0.27038962611338446,0.0018034093143424203,1704.089065415541,-0.09098846529767002,-9.483448597120496,-0.6520094580970621
2024-10-14,57438.72265625,59573.269781989016,57341.69778689822,57729.79726430532,104697889,27.44801906646927,4027.177988023548,2.0261915156592454,-0.0016863157964773778,-0.2757726212804541,0.001852309752673057,1290.165163108335,1.974460831680112,-13.31829918709909,-0.6216942374006965
2024-10-21,54236.8984375,58214.917822003576,54139.87357446332,57244.66919163685,130727449,19.785568322332438,4031.964613975219,1.2587159186259058,-0.05574330470250466,-0.21590120742866903,0.0018131306811245303,1369.1576834837274,-7.845107045641715,-14.75224165742259,-1.498757853944551
2024-10-28,56565.5,59379.221269296744,54042.85334476844,54042.85334476844,130875210,23.951637367005546,4162.404945030527,4.547329677764053,0.04293389979117945,-0.34527236090642033,0.0012951947892840242,2941.5217509603217,-0.07054170929989567,-9.791763819965254,-0.802909035157819
2024-11-04,55304.171875,57632.76858552631,54624.99783442982,56856.56968201754,86084137,24.043810153622232,4046.941525637124,6.399615947004478,-0.022298541071854805,-0.27116631625989474,0.0012958099537416926,2786.046600186557,-2.5750964801085807,-8.806351779992049,-0.9422497853611058
2024-11-11,51908.3046875,55110.125350467286,48415.40941880841,55013.10048189252,215587402,22.642039077896328,4331.123618692571,12.956498003967596,-0.06140345424890248,-0.24970683825186257,0.0013843902078121192,2970.701075329203,-3.1353684807816684,0.11355594928119928,-0.5805879251488305
2024-11-18,54333.921875,55789.29478236607,53072.598688616075,55304.17047991072,134877926,33.60597534498157,4286.110266309921,22.463025389830317,0.046728884753658884,-0.2384318568305448,0.0016203479791226153,1578.8202142346504,0.8650577257798489,-3.4476896090967237,-0.27072123912317425
2024-11-25,52587.4765625,57147.645194303506,52199.377104474166,55692.27222670664,125769782,32.79296505376165,4352.326048661863,29.601438824337162,-0.032142817087966735,-0.1263909809822038,0.0014027081061966412,1996.3762871529934,-5.912096556422078,-0.5837931412341995,-0.7316300642405571
2024-12-02,52490.44921875,52781.52379852126,50452.9271603512,52684.498938597506,120874387,21.00221982674863,4149.953107612682,32.62702349851779,-0.0018450655953168305,-0.1367945350685229,0.0014095346705737598,1646.6185343429202,-18.643027721421774,0.1376842156319924,-1.694610788671324
2024-12-09,54430.953125,54819.05261252228,51617.23184046346,51908.306456105165,110963118,29.12244394648171,4055.1398740572968,36.414700409717966,0.0369687045001863,-0.15768732926595153,0.0015521756990250104,1079.6378595929618,-10.555697182761875,2.248049800578528,-0.8718056590243919
2024-12-16,51423.1796875,54916.07491155661,50355.906146816036,54625.00030955189,96348143,30.39158774460563,4105.642763125625,35.92994501876825,-0.05525851128479575,-0.06994017045932366,0.0015896651951989933,1088.5183213920582,-11.284657895486944,2.585697441100791,-0.9159499481837219
2024-12-23,52102.35546875,52975.579303421786,51617.231116154566,51811.28085719274,46571598,35.88653101183881,3850.318448405241,37.41717489294396,0.013207580421463083,-0.103746520742794,0.0016290661484221268,504.6703681779004,-6.895762992349638,0.11040128194801468,-0.6123346767021399
