Date,Close,High,Low,Open,Volume,MFI_10,ATR_10,STOCHk_10_3_3,RET,MOM,VOL,ATR_10_res,MFI_10_res,STOCHk_10_3_3_res,Investor_Sentiment_PC1
2024-09-16,60784.61328125,62424.8330047123,60012.74517609127,61749.44841269841,82148769,11.462741269977258,4544.179797748396,2.746901311340728,-0.02173913590145715,-0.2893875092036938,0.0016256161217332726,2560.9374204422274,-11.452314793128913,-9.431592800321823,-1.660578926609416
2024-09-23,61942.4140625,63100.21619450935,60012.74384248443,60109.22735348521,150151359,24.417533103664567,4398.509053176048,4.093993625009169,0.019047596402281375,-0.28012797561830216,0.0018261402352700705,1602.8455899863388,-1.206886988280747,-13.236922556882618,-0.9164740104532909
2024-09-30,58797.06640625,62386.98630234117,58117.89237185437,62289.96144028465,85415277,25.031946300489125,4385.567540907123,4.7302103662460775,-0.050778577229430244,-0.2610803792160208,0.0018195044048721874,1936.0264168405347,2.0512707098235765,-6.702249878597171,-0.3861898792548607
2024-10-07,57535.74609375,60058.392634116775,57147.64662600126,58408.96989618465,137364502,24.80397195441742,4238.085387627962,4.336029646422354,-0.021452095990386444,-0.27038977588692004,0.0018034119038033449,1697.7721001678797,0.765697213096665,-9.483436919905287,-0.5924447276032412
2024-10-14,57438.7265625,59573.27383340372,57341.70168654983,57729.80119035051,104697889,27.448018567890983,4037.4340635505546,2.026197443517475,-0.0016862479039015943,-0.27577270765140494,0.0018523126809563196,1283.2062644261018,2.8268398905383947,-13.318279846280134,-0.5627904731923448
2024-10-21,54236.8984375,58214.917822003576,54139.87357446332,57244.66919163685,130727449,19.785568059023404,4041.1950819495246,1.2587224029753807,-0.05574336891880849,-0.215901028720766,0.001813132556353078,1360.7345457533324,-7.027686419898622,-14.752236155157853,-1.4213845573693669
2024-10-28,56565.5,59379.221269296744,54042.85334476844,54042.85334476844,130875210,23.95163744033006,4170.712366207403,4.547336162113528,0.04293389979117945,-0.34527236279261386,0.0012951943749405143,2931.9999846290493,0.8880195211089656,-9.791759818224438,-0.7436132694122304
2024-11-04,55304.171875,57632.76858552631,54624.99783442982,56856.56968201754,86084137,24.043810224271667,4054.4182046963115,6.399615995634947,-0.022298541071854805,-0.2711662171830217,0.0012958094489654481,2775.2464262327812,-1.6651768697258902,-8.806361446325312,-0.8804389123972552
2024-11-11,51908.30078125,55110.121203271025,48415.40577540888,55013.09634199766,215587402,22.642039445161075,4337.852994185792,12.956494503383036,-0.06140352488100609,-0.24970683882647282,0.0013843905111254446,2958.557818647926,-2.2449216568825037,0.11356740926564335,-0.5228892796683435
2024-11-18,54333.921875,55789.29478236607,53072.598688616075,55304.17047991072,134877926,33.60597579297129,4292.1670948788205,22.463023185795038,0.04672896352303968,-0.23843192803725866,0.0016203494477418027,1569.4406598415362,1.7019311306363214,-3.447688977524379,-0.21532111235461238
2024-11-25,52587.4765625,57147.645194303506,52199.377104474166,55692.27222670664,125769782,32.79296593276939,4357.777194373873,29.60143997465525,-0.032142817087966735,-0.1263910321803443,0.0014027101684375922,1986.0295916505033,-5.129796450323667,-0.5837751121706205,-0.6696088733955766
2024-12-02,52490.453125,52781.527726432534,50452.930914972276,52684.502859288354,120874387,21.002219916140717,4154.859156082512,32.62704651020812,-0.0018449913143234742,-0.1367947133668539,0.0014095371433924145,1636.3798286101255,-17.85850975815083,0.13772926743719438,-1.6026680216720857
2024-12-09,54430.953125,54819.05261252228,51617.23184046346,51908.306456105165,110963118,29.122443930022925,4059.555317680143,36.41472716645105,0.036968627330743686,-0.15768730108345874,0.0015521782595709316,1069.7480850682605,-9.776010641606952,2.248090538308041,-0.794355465549736
2024-12-16,51423.1796875,54916.07491155661,50355.906146816036,54625.00030955189,96348143,30.391587726681067,4109.616662386186,35.92997310885891,-0.05525851128479575,-0.06994009652328481,0.0015896667831997173,1077.2838032318318,-10.563601397769503,2.585728698435865,-0.8415762566029366
2024-12-23,52102.3515625,52975.57533170391,51617.22724627561,51811.276972765365,46571598,32.113349080707934,3853.894560567959,37.41718009807794,0.013207504458637942,-0.10374651181769412,0.0016290675360324843,494.3540071692378,-9.936940456179798,0.11042076617853525,-0.840869918660056
2024-12-30,53141.41796875,53825.2229793773,51090.002936868106,52066.86723776425,48573286,38.92050820076139,3742.0271087620827,34.56346033187515,0.01994279288917644,-0.08885275945515458,0.0016999067676682835,72.99719283847298,-4.663512653659772,-4.995813616814445,-0.6164165606983822
2025-01-06,54020.6015625,56365.07613302441,53043.737158114825,53141.423598553345,103207887,37.03115799001298,3699.958295376833,45.84837553131528,0.016544225339771845,-0.013166597647169653,0.0014596108174293452,178.46553113044502,-14.095665364921715,-2.6618135262978626,-1.2652261687316217
2025-01-13,52457.6171875,53727.54088105214,51969.18499767225,53336.795129189944,90392193,37.0585392434653,3535.104122321925,50.06915967412507,-0.028933116807144055,-0.03955627209857726,0.0013164514759931227,820.2636873224242,-9.296737081002,9.378536777517397,-0.3869184144474593
2025-01-20,52457.6171875,53141.42225325885,51871.4985597067,52359.93074953445,71155922,42.51478771017583,3308.5860794449472,46.0156816491216,0.0,-0.04619084783386651,0.0012899762732276917,514.5961842682077,-5.154101735041891,2.647494394439235,-0.34324468745381853
2025-01-27,51187.6953125,52457.61905116889,50503.89022244752,52457.61905116889,42186279,31.17655157291624,3173.10035437259,29.827614169181924,-0.0242085314409326,0.015212677047139578,0.0009902029134203666,894.5015098303952,-21.628982096643973,-18.643880397693547,-2.7089619256241337
