Date,Close,High,Low,Open,Volume,MFI_10,ATR_10,STOCHk_10_3_3
2025-07-28,68121.1328125,73163.48081458635,66440.35014513788,67429.04583182148,148891490,90.80829683373548,4059.002349434263,83.87531166544211
2025-08-04,70988.34375,71581.56110724233,67527.90916608635,68714.34388057103,78964731,90.97516945712783,4058.4673086064354,81.45054880218437
2025-08-11,70790.609375,71581.5659043296,69999.6528456704,71186.08763966481,51403773,91.04010086709228,3810.8118836117123,83.13111569825958
2025-08-18,70592.8671875,71087.21499693627,68615.4759497549,70296.25850183824,69695454,82.96518760725206,3676.904599968678,86.40512208995086
2025-08-25,68912.0859375,70988.34677636297,68813.21637374461,70889.4772126076,58841393,75.4467909889959,3526.727180233647,81.8905516470967
2025-09-01,68714.34375,69604.16978417267,66736.95256294965,67626.7785971223,56700518,67.7092170786527,3460.7761843325843,75.91250849777342
2025-09-08,74547.6484375,74745.38755802387,68813.21394230769,69010.95306283157,95075124,68.06082454550351,3717.8029467017127,80.44707631280008
2025-09-15,79392.265625,79590.00476727895,75042.00449486301,76327.30891967622,94602422,78.29901616163839,3850.258285009437,88.64720033827753
2025-09-22,82358.34375,85225.56099939976,80183.21342286916,80578.69166416567,113177260,78.89358930331251,4048.5619939484695,94.67225103100547
2025-09-29,88735.4296875,89279.21226497214,82259.47353760446,82358.34309714485,101310544,80.15068300535611,4345.679667290391,94.31150043046853
2025-10-06,93749.2890625,93848.5997500662,89131.34209067134,89131.34209067134,35269748,77.7235650945562,4422.428706817973,94.54590553980164
2025-10-13,97225.15625,98416.88441649642,89578.2338483146,90670.65133426967,131350523,80.12051941137449,4864.050892954358,97.83032267173348
2025-10-20,98118.953125,99211.37061930668,94841.70064207996,97225.15699329453,93621703,81.6733439928561,4814.612801381593,97.50266285431915
2025-10-27,106758.984375,107851.40188953489,98416.88699127907,100601.72202034884,152466621,90.18151878284816,5306.396397696923,96.7390917300851
2025-11-03,97225.15625,111625.20492849847,95636.1853613381,106163.1174987232,156967139,78.7029307453456,6374.6587146432685,87.29976007704374
2025-11-10,96529.9765625,105269.31600437242,96529.9765625,97920.32601916151,113643449,72.8838356862026,6611.126787366184,76.66795530734402
2025-11-17,94146.5234375,102190.68841475474,93848.59140130537,99112.057374077,103334007,64.03531092196243,6784.223809974503,61.62766377932897
2025-11-24,99807.234375,104772.76842350747,95536.87509328358,97125.84598880597,99001482,64.8914676988995,7168.4259275777995,59.792059525187824
2025-12-01,107652.78125,107652.78125,99211.37312615314,101296.89748616236,70939656,64.24748322307701,7295.724147204706,67.03603755144492
2025-12-08,108149.3359375,109738.30689709596,106063.8115530303,108943.82141729798,78769475,64.14981539721732,6933.6012668908015,77.81116059403409
2025-12-15,105567.25,108943.81302916275,101992.06561618063,104574.14322671684,108107073,56.57545806572467,6935.415881499934,81.18085760953217
2025-12-22,116193.4921875,116193.4921875,108546.57005208333,108943.81276041667,91789471,55.763132023050076,7304.498512099941,85.68999517719635
2025-12-29,127614.2265625,127614.2265625,117385.22630107004,118576.9544868677,69885632,55.58627974302572,7716.1220983899475,90.840835676904
2026-01-05,138712.890625,144201.53018210432,132425.90349595324,134321.97897931654,205472025,60.14932289340233,8603.240250511386,96.36655463745755
2026-01-12,148592.4375,149191.1981615178,136517.43082605777,140708.75545668235,121801572,73.57218830156901,9010.29295900625,96.00591588396088
2026-01-19,151785.828125,156675.7068745891,141507.103406476,146895.9493754109,136006446,83.88965733952344,9626.124009916934,93.41155901922549
2026-01-26,160168.484375,166255.8847157321,148891.82472741435,154580.05127531153,156086280,92.2713661543371,10399.917607757016,94.17571441610842
2026-02-02,158272.40625,169050.09847887768,150089.34363177806,155378.39629965322,181014533,93.14889935129216,11256.001331691277,89.39226719416939
2026-02-09,180825.71875,184019.10892660043,161665.37769039735,168251.74492963575,142978982,93.80583929440232,12705.071466182193,90.68892594711032
2026-02-16,189707.34375,190505.69133022093,180825.72692004207,180825.72692004207,51263268,93.84199388543585,12402.561577586066,93.25756631455613
2026-02-23,216052.8125,222539.3865473441,190106.51631062356,193998.46073903,163283828,100.0,14445.50969956187,96.50487368973275
2026-03-02,187811.265625,212061.07303566684,171544.93390508767,209067.2696516339,227788743,81.99556634207852,17451.746589096918,86.79393431125902
2026-03-09,183120.96875,194397.6278610354,166954.43090940054,173141.62440395096,140914630,73.25768922259977,18450.891625350712,72.5135554615751
2026-03-16,198988.125,208568.2955115346,183220.7610330993,184218.69546138417,120360709,72.7564193727037,19150.535138969102,65.28426798956657
2026-03-23,179728.0,195994.3320377568,171644.73070516382,190106.51860077734,139936088,63.799604110305886,19969.82105455581,58.68206986060388
2026-03-30,185815.390625,193200.10539742213,166655.0495938507,170646.78730867346,152128669,54.467403438189564,20627.344529457372,56.64159493267341
2026-04-06,206000.0,214500.0,190100.0,190900.0,147940282,55.36258377904218,21433.071014011635,58.158101883575476
2026-04-13,216000.0,218000.0,198200.0,198200.0,106947487,54.31618781853539,21269.763912610473,72.18810627990489
2026-04-20,219500.0,229500.0,213000.0,214500.0,104835504,53.97894824965406,20792.787521349426,83.50555052004914
2026-04-27,220500.0,230000.0,218500.0,220000.0,83840595,55.50584563446935,19863.508769214484,86.11602661054492
2026-05-04,268500.0,277000.0,224000.0,228000.0,153299379,56.31764024973936,23527.157892293035,87.12915235811236
2026-05-11,270500.0,299500.0,262000.0,284500.0,190172616,72.74325679456041,24924.44210306373,85.15655804395668
2026-05-18,292500.0,300500.0,262000.0,269500.0,154548823,82.69782302563749,26281.997892757357,88.16328599637579
2026-05-25,317000.0,323000.0,287500.0,298000.0,124794930,83.49646987069185,27203.798103481622,89.45176883304804
2026-06-01,329000.0,370000.0,319500.0,319500.0,194841885,92.37698788444789,29783.41829313346,90.00749479520239
